empresa,arquivo_origem,nomes_planos,caminho_completo
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A,Plano_Remuneracao_1.pdf,"[""Plano de Outorga de Opções de Compra de AçõesO presente Plano de Outorga de Opções de Compra de Ações é regido pelas disposições abaixo e pelalegislação aplicável""]",./ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A/Plano_Remuneracao_1.pdf
ALPHAVILLE S.A,Item_8-4_FRE.pdf,"[""Plano de Ações Diferidas da Alphaville S"", ""Plano de Ações Diferidas da Companhia (“Primeiro Programa""]",./ALPHAVILLE S.A/Item_8-4_FRE.pdf
ALPHAVILLE S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE AÇÕES DIFERIDAS DA ALPHAVILLE S"", ""Plano de Ações Diferidas da Alphaville S""]",./ALPHAVILLE S.A/Plano_Remuneracao_1.pdf
AMBEV S.A,Item_8-4_FRE.pdf,"[""Plano de Opção A Companhia recepcionou o Plano de Opção por ter sucedido a Companhia de Bebidas das Américas"", ""Plano de Opção estabelece as condições gerais para a outorga das opções"", ""Plano de Opção é administrado pelo Conselho de Administração"", ""Plano de Opção e são sujeitas""]",./AMBEV S.A/Item_8-4_FRE.pdf
AMBEV S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE REMUNERAÇÃO BASEADO EM AÇÕES Aprovado na Assembleia Geral Extraordinária realizada no dia 24 de abril de 2020 1"", ""Plano de Remuneração em Ações 1"", ""Plano de Remuneração em Ações da Ambev S"", ""Plano de Ações"", ""Plano de Ações os administradores ou empregados da Companhia (“Participantes"", ""Plano de Ações 3"", ""Plano de Ações será administrado pelo Conselho de Administração da Companhia"", ""Plano de Ações (“Comitê"", ""Plano de Ações e"", ""Plano de Ações e para a remuneração baseada em ações"", ""PLANO DE REMUNERAÇÃO BASEADO EM AÇÕES""]",./AMBEV S.A/Plano_Remuneracao_1.pdf
AMBEV S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE REMUNERAÇÃO BASEADO EM AÇÕES Aprovado na Assembleia Geral Extraordinária realizada no dia 29 de abril de 2016 1"", ""Plano de Remuneração em Ações 1"", ""Plano de Remuneração em Ações da Ambev S"", ""Plano de Ações"", ""Plano de Ações os administradores ou empregados da Companhia (“Participantes"", ""Plano de Ações 3"", ""Plano de Ações será administrado pelo Conselho de Administração da Companhia"", ""Plano de Ações (“Comitê"", ""Plano de Ações e"", ""Plano de Ações e para a remuneração baseada em ações"", ""PLANO DE REMUNERAÇÃO BASEADO EM AÇÕES""]",./AMBEV S.A/Plano_Remuneracao_2.pdf
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S.A,Plano_Remuneracao_1.pdf,[],./AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S.A/Plano_Remuneracao_1.pdf
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S.A,Plano_Remuneracao_2.pdf,[],./AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S.A/Plano_Remuneracao_2.pdf
AMERICANAS S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO COM AÇÕES RESTRITAS B2W"", ""Plano de Ações Restritas 1"", ""Plano de Incentivo com Ações Restritas da B2W"", ""Plano de Ações Restritas"", ""Plano de Ações Restritas (“Ações Restritas"", ""Plano de Ações Restritas os administradores"", ""Plano de Ações Restritas 3"", ""Plano de Opção de Compra de Ações aprovado em 13 de dezembro de 2006"", ""Plano de Ações Restritas e o Plano de Opções estarão limitados""]",./AMERICANAS S.A/Plano_Remuneracao_1.pdf
AMERICANAS S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE OPÇÃO DE COMPRA DE AÇÕES B2W"", ""PLANO DE OPÇÃO DE COMPRA DE AÇÕES Aprovado pela AGE de 13 de dezembro de 2006"", ""Plano de Opção de Compra de Ações da B2W""]",./AMERICANAS S.A/Plano_Remuneracao_2.pdf
ANIMA HOLDING S.A,Item_8-4_FRE.pdf,"[""Plano de Opção de Compra de Ações Ordinárias a) Termos e condições gerais O nosso Plano de Opção de Compra de Ações Ordinárias (“Plano""]",./ANIMA HOLDING S.A/Item_8-4_FRE.pdf
ANIMA HOLDING S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO DE COLABORADORES"", ""PLANO DE INCENTIVO DE LONGO PRAZO 1 DESCRIÇÃO SUMÁRIA"", ""Plano de incentivo da Companhia""]",./ANIMA HOLDING S.A/Plano_Remuneracao_1.pdf
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A",Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações do Conselho de Administração e diretoria estatutária a) Termos e Condições Gerais"", ""Plano de Opção de Compra de Ações de emissão da Companhia (“Plano"", ""Plano de remuneração baseado em ações""]","./ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A/Item_8-4_FRE.pdf"
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A",Plano_Remuneracao_2.pdf,[],"./ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A/Plano_Remuneracao_2.pdf"
ATACADÃO S.A,Item_8-4_FRE.pdf,"[""Plano de Incentivo de Longo Prazo"", ""plano de outorga de opção de compra e matching de ações (“Plano de Opção de Compra e Matching"", ""Plano de Incentivo de Longo Prazo consiste em outorgas anuais que podem ser opções de compras de ações ou ações restritas"", ""Plano de Incentivo de Longo Prazo são vinculantes à Companhia e aos respectivos beneficiários"", ""Plano de Incentivo de Longo Prazo são estabelecidos em um contrato individual celebrado entre a Companhia e os respectivos beneficiários"", ""Plano de Opção de""]",./ATACADÃO S.A/Item_8-4_FRE.pdf
ATACADÃO S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO BASEADO EM AÇÕES Considerando que"", ""PLANO DE INCENTIVO DE LONGO PRAZO BASEADO EM AÇÕES""]",./ATACADÃO S.A/Plano_Remuneracao_1.pdf
ATACADÃO S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO BASEADO EM AÇÕES 1"", ""Plano de Incentivo de Longo Prazo Baseado em Ações (“Plano"", ""Plano de Incentivo de Longo Prazo (“Contrato de O"", ""PLANO DE INCENTIVO DE LONGO PRAZO BASEADO EM AÇÕES"", ""Plano de Incentivo de Longo Prazo Baseado em Ações""]",./ATACADÃO S.A/Plano_Remuneracao_2.pdf
ATACADÃO S.A,Plano_Remuneracao_4.pdf,"[""PLANO DE OPÇÃO DE COMPRA DE AÇÕES"", ""Plano de Opção de Compra de Ações do Atacadão S""]",./ATACADÃO S.A/Plano_Remuneracao_4.pdf
ATACADÃO S.A,Plano_Remuneracao_5.pdf,"[""PLANO DE OPÇÃO DE COMPRA DE AÇÕES (Aprovado em Assembleia Geral Extraordinária realizada em 21 de março de 2017"", ""Plano de Opção de Compra de Ações do Atacadão S""]",./ATACADÃO S.A/Plano_Remuneracao_5.pdf
AURA MINERALS INC,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações do conselho de administração e diretoria estatutária a"", ""Plano de Incentivo Geral (\""Plano 2024\"") para diretores"", ""Plano de remuneração baseado em ações"", ""Planos de Remuneração Baseado em Ações""]",./AURA MINERALS INC/Item_8-4_FRE.pdf
AURA MINERALS INC,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO GERAL Com efeito a partir de 20 de junho de 2024"", ""PLANO DE INCENTIVO GERAL Pelo presente ato"", ""Plano de Incentivo Geral (o \""Plano\"") para alguns diretores""]",./AURA MINERALS INC/Plano_Remuneracao_1.pdf
AUREN ENERGIA S.A,Item_8-4_FRE.pdf,"[""Plano de Outorga de Ações Restritas""]",./AUREN ENERGIA S.A/Item_8-4_FRE.pdf
AUREN ENERGIA S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE OUTORGA DE AÇÕES RESTRITAS Aprovado na Assembleia Geral Extraordinária e Ordinária realizada em 28 de abril de 2023 O presente Plano de Outorga de Ações Restritas (o “Plano""]",./AUREN ENERGIA S.A/Plano_Remuneracao_1.pdf
AUTOMOB PARTICIPAÇÕES S.A,Item_8-4_FRE.pdf,"[""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""Plano de Opção A Assembleia Geral de Acionistas da Companhia aprovou"", ""Plano de Opção de Compra de Ações de emissão da Companhia que estabelece os termos e condições gerais para a outorga de opções de compra de ações ordinárias de emissão da Companhia para seus administradores"", ""plano de remuneração baseado em ações""]",./AUTOMOB PARTICIPAÇÕES S.A/Item_8-4_FRE.pdf
AUTOMOB PARTICIPAÇÕES S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO PARA EXECUTIVOS DA VAMOS COMÉRCIO DE MÁQUINAS LINHA AMARELA S"", ""Plano de Incentivo de Longo Prazo""]",./AUTOMOB PARTICIPAÇÕES S.A/Plano_Remuneracao_1.pdf
AUTOMOB PARTICIPAÇÕES S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE OPÇÃO DE COMPRA DE AÇÕES DA VAMOS COMÉRCIO DE MÁQUINAS LINHA AMARELA S"", ""Plano de Opção de compra de ações da VAMOS COMÉRCIO DE MÁQUINAS LINHA AMARELA S""]",./AUTOMOB PARTICIPAÇÕES S.A/Plano_Remuneracao_2.pdf
AUTOMOB PARTICIPAÇÕES S.A,Plano_Remuneracao_3.pdf,"[""PLANO DE AÇÕES RESTRITAS E MATCHING DA VAMOS COMÉRCIO DE MÁQUINAS LINHA AMARELA S"", ""Plano de Ações Restritas e Matching (“Plano""]",./AUTOMOB PARTICIPAÇÕES S.A/Plano_Remuneracao_3.pdf
AZUL S.A,Item_8-4_FRE.pdf,"[""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""plano de outorga de opção de compra de ações preferenciais de nossa emissão (“Primeiro Plano de Opções"", ""plano de remuneração baseado em ações""]",./AZUL S.A/Item_8-4_FRE.pdf
AZUL S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE OPÇÃO DE COMPRA DE AÇÕES 1"", ""Plano de Opção de Compra de Ações da Azul S""]",./AZUL S.A/Plano_Remuneracao_1.pdf
AZUL S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE OUTORGA DE OPÇÕES DE COMPRA DE AÇÕES DA AZUL S"", ""Plano de Outorga de Opções de Compra de Ações (“Quinto Plano""]",./AZUL S.A/Plano_Remuneracao_2.pdf
AZUL S.A,Plano_Remuneracao_4.pdf,"[""PLANO DE OUTORGA DE AÇÕES RESTRITAS DA AZUL S"", ""plano de outorga de ações restritas é elaborado no âmbito do programa de incentivo de longo prazo da Companhia"", ""Plano de Ações Restritas e no respectivo Contrato de Ações Restritas"", ""Plano de Ações Restritas entrará em vigor""]",./AZUL S.A/Plano_Remuneracao_4.pdf
AZUL S.A,Plano_Remuneracao_5.pdf,"[""PLANO DE OUTORGA DE AÇÕES RESTRITAS DA AZUL S"", ""plano de outorga de ações restritas é elaborado no âmbito do programa de incentivo de longo prazo da Companhia"", ""Plano de Ações Restritas e no respectivo Contrato de Ações Restritas"", ""Plano de Ações Restritas entrará em vigor""]",./AZUL S.A/Plano_Remuneracao_5.pdf
AZUL S.A,Plano_Remuneracao_6.pdf,"[""PLANO DE OUTORGA DE AÇÕES RESTRITAS DA AZUL S"", ""plano de outorga de ações restritas é elaborado no âmbito do programa de incentivo de longo prazo da Companhia"", ""Plano de Ações Restritas e no respectivo Contrato de Ações Restritas"", ""Plano de Ações Restritas entrará em vigor""]",./AZUL S.A/Plano_Remuneracao_6.pdf
AZUL S.A,Plano_Remuneracao_7.pdf,"[""PLANO DE OUTORGA DE OPÇÃO DE COMPRA DE AÇÕES DA AZUL S"", ""Plano de Opção de Compra de Ações (“Plano""]",./AZUL S.A/Plano_Remuneracao_7.pdf
AZZAS 2154 S.A,Item_8-4_FRE.pdf,"[""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""Plano de Outorga de Ações Restritas"", ""Plano de Opção de Compra de Ações"", ""Plano de Opção 2021"", ""Plano de Outorga de Ações Restritas e o Plano de Opção 2021 estão vigentes na data deste Formulário de Referência"", ""Plano de Outorga de Ações Restritas (“Primeira Outorga"", ""Plano de Outorga de Ações Restritas (“Quarta Outorga"", ""Plano de Outorga de Ações Restritas (“Quinta Outorga"", ""plano de remuneração baseado em ações""]",./AZZAS 2154 S.A/Item_8-4_FRE.pdf
AZZAS 2154 S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVOS BASEADOS EM AÇÕES O presente Plano de Incentivos Baseados em Ações é regido pelas disposições abaixo e pela legislação e regulamentação aplicável""]",./AZZAS 2154 S.A/Plano_Remuneracao_1.pdf
AZZAS 2154 S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE OUTORGA DE OPÇÃO DE COMPRA DE AÇÕES DA AREZZO INDÚSTRIA E COMÉRCIO S"", ""PLANO DE OPÇÃO DE COMPRA DE AÇÕES DE 2021 1"", ""Plano de Opção de Compra de Ações da Arezzo Indústria a Comércio S""]",./AZZAS 2154 S.A/Plano_Remuneracao_2.pdf
AZZAS 2154 S.A,Plano_Remuneracao_3.pdf,"[""PLANO DE OUTORGA DE AÇÕES RESTRITAS Aprovado pela Assembleia Geral Extraordinária realizada em 23 de junho de 2017 O presente Plano de Outorga de Ações Restritas é regido pelas disposições abaixo e pela legislação aplicável""]",./AZZAS 2154 S.A/Plano_Remuneracao_3.pdf
"B3 S.A. - BRASIL, BOLSA, BALCÃO",Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações a"", ""Plano de Ações da B3 seus administradores e empregados da Companhia e de sociedades controladas (\""Beneficiários"", ""Plano de Ações delega ao Conselho de Administração ou ao Comitê de Pessoas e Remuneração"", ""Plano de Ações prevê"", ""Plano de remuneração baseado em ações""]","./B3 S.A. - BRASIL, BOLSA, BALCÃO/Item_8-4_FRE.pdf"
"B3 S.A. - BRASIL, BOLSA, BALCÃO",Plano_Remuneracao_1.pdf,[],"./B3 S.A. - BRASIL, BOLSA, BALCÃO/Plano_Remuneracao_1.pdf"
"B3 S.A. - BRASIL, BOLSA, BALCÃO",Plano_Remuneracao_3.pdf,[],"./B3 S.A. - BRASIL, BOLSA, BALCÃO/Plano_Remuneracao_3.pdf"
"B3 S.A. - BRASIL, BOLSA, BALCÃO",Plano_Remuneracao_4.pdf,[],"./B3 S.A. - BRASIL, BOLSA, BALCÃO/Plano_Remuneracao_4.pdf"
"B3 S.A. - BRASIL, BOLSA, BALCÃO",Plano_Remuneracao_5.pdf,[],"./B3 S.A. - BRASIL, BOLSA, BALCÃO/Plano_Remuneracao_5.pdf"
BAHEMA EDUCAÇÃO S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE OUTORGA DE OPÇÃO DE COMPRA OU SUBSCRIÇÃO DE AÇÕES CONSOLIDADO APRESENTAÇÃO O presente regulamento (“Regulamento"", ""plano de outorga de opções de compra ou subscrição de ações (“Plano""]",./BAHEMA EDUCAÇÃO S.A/Plano_Remuneracao_1.pdf
BAHEMA EDUCAÇÃO S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE OUTORGA DE OPÇÃO DE COMPRA OU SUBSCRIÇÃO DE AÇÕES APRESENTAÇÃO O presente regulamento (“Regulamento"", ""plano de outorga de opções de compra ou subscrição de ações (“Plano""]",./BAHEMA EDUCAÇÃO S.A/Plano_Remuneracao_2.pdf
BAHEMA EDUCAÇÃO S.A,Plano_Remuneracao_3.pdf,"[""PLANO DE OUTORGA DE OPÇÃO DE COMPRA OU SUBSCRIÇÃO DE AÇÕES I"", ""plano de outorga de opções de compra ou subscrição de ações (“Plano""]",./BAHEMA EDUCAÇÃO S.A/Plano_Remuneracao_3.pdf
BANCO BMG S.A,Item_8-4_FRE.pdf,"[""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""Plano de Outorga de Ações do Grupo Bmg (“Plano"", ""plano de remuneração baseado em ações""]",./BANCO BMG S.A/Item_8-4_FRE.pdf
BANCO BMG S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE OUTORGA DE AÇÕES DO GRUPO BMG 1"", ""Plano de Outorga de Ações aplicável ao Banco BMG S""]",./BANCO BMG S.A/Plano_Remuneracao_1.pdf
BCO ESTADO DE SERGIPE S.A. - BANESE,Item_8-4_FRE.pdf,"[""plano de remuneração baseado em ações Item 8"", ""plano de remuneração dos membros da Diretoria Executiva e do Conselho de Administração não se basear em ações"", ""plano de remuneração baseado em ações""]",./BCO ESTADO DE SERGIPE S.A. - BANESE/Item_8-4_FRE.pdf
BCO ESTADO DE SERGIPE S.A. - BANESE,Plano_Remuneracao_1.pdf,[],./BCO ESTADO DE SERGIPE S.A. - BANESE/Plano_Remuneracao_1.pdf
BCO MERCANTIL DO BRASIL S.A,Item_8-4_FRE.pdf,"[""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""Plano de Incentivo de Longo Prazo Referenciado em Ações do Banco Mercantil do Brasil S"", ""plano de remuneração baseado em ações""]",./BCO MERCANTIL DO BRASIL S.A/Item_8-4_FRE.pdf
BCO MERCANTIL DO BRASIL S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO REFERENCIADO EM AÇÕES Aprovado em Assembleia Geral Ordinária e Extraordinária realizada em 24 de abril de 2024 1"", ""Plano de Incentivo de Longo Prazo Referenciado em Ações do Banco Mercantil do Brasil S""]",./BCO MERCANTIL DO BRASIL S.A/Plano_Remuneracao_1.pdf
BCO SANTANDER (BRASIL) S.A,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações do Conselho de Administração e da Diretoria Estatutária"", ""Plano de Incentivo de Longo Prazo Local"", ""Plano de Incentivo de Longo Prazo Global e o Plano de Diferimento"", ""Plano de Incentivo de Longo Prazo Local Planos de Retenção Em situações específicas e pontuais tanto administradores como funcionários poderão ter um plano de retenção atrelado à área ou indivíduo com o objetivo de retê-lo garantindo a sustentabilidade dos negócios e do Banco"", ""Plano de remuneração baseado em ações""]",./BCO SANTANDER (BRASIL) S.A/Item_8-4_FRE.pdf
BCO SANTANDER (BRASIL) S.A,Plano_Remuneracao_1.pdf,[],./BCO SANTANDER (BRASIL) S.A/Plano_Remuneracao_1.pdf
BEMOBI MOBILE TECH S.A,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações"", ""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""Plano de Incentivo de Longo Prazo e Plano de Prêmio de Superação da Companhia (“Plano Phantom"", ""plano de opção de compra de ações da Bemobi Holding AS"", ""plano de opção de compra de ações da Bemobi Holding AS foi substituído por um plano de incentivo de longo prazo e prêm"", ""plano de remuneração baseado em ações""]",./BEMOBI MOBILE TECH S.A/Item_8-4_FRE.pdf
BEMOBI MOBILE TECH S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO E PLANO DE PRÊMIO DE SUPERAÇÃO"", ""Plano de Incentivo de Longo Prazo e Plano de Prêmio de Superação""]",./BEMOBI MOBILE TECH S.A/Plano_Remuneracao_1.pdf
BEMOBI MOBILE TECH S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO MEDIANTE OUTORGA DE AÇÕES OU OPÇÕES DE COMPRA DE AÇÕES DE EMISSÃO DA BEMOBI MOBILE TECH S"", ""Plano de incentivo de longo prazo mediante outorga de ações ou opções de compra de ações de emissão da Bemobi Mobile Tech S""]",./BEMOBI MOBILE TECH S.A/Plano_Remuneracao_2.pdf
BIOMM S.A,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações do conselho de administração e diretoria estatutária"", ""Plano de Incentivo de Longo Prazo e Retenção"", ""Plano de Incentivo de Longo Prazo e Retenção da Biomm S"", ""Plano de remuneração baseado em ações""]",./BIOMM S.A/Item_8-4_FRE.pdf
BIOMM S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE INCENTIVO DE LONGO PRAZO E RETENÇÃO CLÁUSULA 1"", ""Plano de Incentivo de Longo Prazo e Retenção da Biomm S""]",./BIOMM S.A/Plano_Remuneracao_1.pdf
BIOMM S.A,Plano_Remuneracao_2.pdf,"[""PLANO DE OPÇÃO DE COMPRA DE AÇÕES DA BIOMM S"", ""Plano de Opção de Compra de Ações (“Plano""]",./BIOMM S.A/Plano_Remuneracao_2.pdf
BIONEXO S.A,Item_8-4_FRE.pdf,"[""Plano de remuneração baseado em ações"", ""plano de remuneração baseado em ações do conselho de administração e da diretoria estatutária"", ""Plano de Incentivo 2024 Em 30 de abril de 2024"", ""Plano de Incentivo 2024"", ""Plano de Incentivo 2022"", ""Plano de Incentivo 2024 tem por objeto a outorga"", ""Plano de Incentivo 2024 e as definições do Conselho de Administração para cada um dos Participantes (“Incentivo"", ""plano de remuneração baseado em ações""]",./BIONEXO S.A/Item_8-4_FRE.pdf
BIONEXO S.A,Plano_Remuneracao_1.pdf,"[""Plano de Outorga de Incentivo Atrelado à Valorização da BIONEXO S""]",./BIONEXO S.A/Plano_Remuneracao_1.pdf
BIONEXO S.A,Plano_Remuneracao_2.pdf,[],./BIONEXO S.A/Plano_Remuneracao_2.pdf
BIOSEV S.A,Plano_Remuneracao_1.pdf,"[""PLANO DE REMUNERAÇÃO VARIÁVEL DA BIOSEV S"", ""Plano de Remuneração Variável (“Plano""]",./BIOSEV S.A/Plano_Remuneracao_1.pdf
BIOTOSCANA INVESTMENTS S.A,Plano_Remuneracao_1.pdf,"[""Plano de Ações 2017 ---------------------------------- Adotado em 5 de maio de 2017 ------------------------- ÍNDICE ----------------------------------------------- SEÇÃO 1""]",./BIOTOSCANA INVESTMENTS S.A/Plano_Remuneracao_1.pdf
